PLAYER,Team,TI,Runs,I. Runs,B. Impact,Bowl,I. Wkts,Bo. Impact
Mark Wood,LSG,63.17,10(3),10,10.16,3/49,3.33,53.02
Mitchell Santner,CSK,51.19,1(1),0.21,- 0.56,1/21,1.45,51.75
Devon Conway,CSK,49.4,47(29),50.09,49.4,-,-,0
Nicholas Pooran,LSG,40.64,32(18),36.75,40.64,-,-,0
Ambati Rayudu,CSK,28.83,27(14),27.4,28.83,-,-,0
Shivam Dube,CSK,28.81,27(16),27.76,28.81,-,-,0
MS Dhoni,CSK,24.46,12(3),17.27,24.46,-,-,0
Mohammed Shami,GT,68.32,-,-,0,3/41,3.9,68.32
Anrich Nortje,DC,66.71,4(2),5.01,6.61,2/39,3.34,60.11
Alzarri Joseph,GT,64.12,-,-,0,2/29,3.11,64.12
Rashid Khan,GT,51.49,-,-,0,3/31,2.74,51.49
Axar Patel,DC,49.68,36(22),41.78,49.68,-,-,0
Sai Sudharsan,GT,47.92,62(48),58.8,47.92,-,-,0
David Miller,GT,42.35,31(16),37.36,42.35,-,-,0
David Warner,DC,35.16,37(32),36.16,35.16,-,-,0
Abishek Porel,DC,34.05,20(11),27.47,34.05,-,-,0
Mitchell Marsh,DC,30.26,4(4),3.41,2.93,1/24,1.32,27.33
Khaleel Ahmed,DC,27.63,-,-,0,1/38,1.71,27.63
Nathan Ellis,PBKS,122.68,-,-,0,4/30,6.12,122.68
Prabhsimran Singh,PBKS,81.38,60(34),71.26,81.38,-,-,0
Shikhar Dhawan,PBKS,76.03,86(56),82.42,76.03,-,-,0
Sanju Samson,RR,56.4,42(25),51.25,56.4,-,-,0
Ravichandran Ashwin,RR,49.91,0(4),- 5.29,- 11.14,1/25,1.87,61.04
Shimron Hetmyer,RR,49.1,36(18),42.59,49.1,-,-,0
Arshdeep Singh,PBKS,46.81,-,-,0,2/47,2.9,46.81
Jason Holder,RR,44.5,1(1),0.15,- 0.59,2/29,1.4,45.1
Dhruv Jurel,RR,41.24,32(15),35.94,41.24,-,-,0
Jitesh Sharma,PBKS,27.85,27(16),28.16,27.85,-,-,0
Jos Buttler,RR,27.1,19(11),23.53,27.1,-,-,0
Shardul Thakur,KKR,125.83,68(29),92.46,119.62,1/15,0.54,6.21
David Willey,RCB,85.46,20(20),20,10.64,2/16,2.63,74.81
Rahmanullah Gurbaz,KKR,69.28,57(44),63.43,69.28,-,-,0
Varun Chakravarthy,KKR,56.25,-,-,0,4/15,3.25,56.25
Rinku Singh,KKR,43.9,46(33),46.8,43.9,-,-,0
Karn Sharma,RCB,43.24,1(3),1,0.42,2/26,2.61,42.81
Faf du Plessis,RCB,42.04,23(12),31.71,42.04,-,-,0
Sunil Narine,KKR,37.88,0(1),- 1.14,- 2.19,2/16,1.77,40.07
Virat Kohli,RCB,18.91,21(18),20.39,18.91,-,-,0
Michael Bracewell,RCB,18.54,19(18),16.81,7.17,1/34,1.45,11.37
Suyash Sharma,KKR,11.39,-,-,0,3/30,1.28,11.39
Krunal Pandya,LSG,115.98,34(23),34.33,30,3/18,4.41,85.97
Ravi Bishnoi,LSG,46.49,-,-,0,1/16,1.94,46.49
Abdul Samad,SRH,41.6,21(10),29.87,41.6,-,-,0
Anmolpreet Singh,SRH,41.17,31(26),36.79,41.17,-,-,0
KL Rahul,LSG,28.49,35(31),36.53,28.49,-,-,0
Fazalhaq Farooqi,SRH,26.87,-,-,0,1/13,1.17,26.87
Amit Mishra,LSG,22,-,-,0,2/23,1.34,22
Rahul Tripathi,SRH,16.37,34(41),25.76,16.37,-,-,0
Bhuvneshwar Kumar,SRH,13.26,-,-,0,1/19,1.06,13.26
Yash Thakur,LSG,11.34,-,-,0,1/23,0.91,11.34
Nicholas Pooran,LSG,10.47,11(6),11,10.47,-,-,0
Yashasvi Jaiswal,RR,88.4,60(31),75.2,88.4,-,-,0
Jos Buttler,RR,82.53,79(51),84.62,82.53,-,-,0
Trent Boult,RR,56.98,-,-,0,3/29,3.33,56.98
Mukesh Kumar,DC,43.5,1(1),1,0.67,2/36,2.3,42.83
David Warner,DC,42.98,65(55),64.21,42.98,-,-,0
Kuldeep Yadav,DC,42.17,3(7),3,0.93,1/31,1.75,41.24
Shimron Hetmyer,RR,40.01,39(21),39.79,40.01,-,-,0
Lalit Yadav,DC,39.24,38(24),42.02,39.24,-,-,0
Ravichandran Ashwin,RR,25.67,-,-,0,2/25,1.47,25.67
Yuzvendra Chahal,RR,17.6,-,-,0,3/27,1.46,17.6
Rovman Powell,DC,15.3,2(2),2,0.89,1/18,0.66,14.42
Ajinkya Rahane,CSK,109.2,61(27),85.04,109.2,-,-,0
Ravindra Jadeja,CSK,84.77,-,-,0,3/20,4.04,84.77
Mitchell Santner,CSK,54.06,-,-,0,2/28,2.87,54.06
Ishan Kishan,MI,44.08,32(21),38.9,44.08,-,-,0
Jason Behrendorff,MI,39.31,-,-,0,1/24,1.83,39.31
Tim David,MI,39.04,31(22),36.92,39.04,-,-,0
Tushar Deshpande,CSK,37.04,-,-,0,2/31,2.46,37.04
Rohit Sharma,MI,32.65,21(13),26.35,32.65,-,-,0
Tilak Varma,MI,24.89,22(18),24.96,24.89,-,-,0
Ruturaj Gaikwad,CSK,22.99,40(36),36.75,22.99,-,-,0
Shivam Dube,CSK,19.92,28(26),28.69,19.92,-,-,0
Venkatesh Iyer,KKR,122.32,83(40),103.03,122.32,-,-,0
Vijay Shankar,GT,97.13,63(24),78.35,97.13,-,-,0
Rashid Khan,GT,92.89,-,-,0,3/37,4.72,92.89
Alzarri Joseph,GT,81.33,-,-,0,2/27,2.9,81.33
Sunil Narine,KKR,73.9,0(1),- 1.68,- 3.32,3/33,3.48,77.22
Rinku Singh,KKR,72.6,48(21),58.17,72.6,-,-,0
Mohammed Shami,GT,52.49,-,-,0,1/28,1.59,52.49
Nitish Rana,KKR,44.06,45(29),44.85,44.06,-,-,0
Suyash Sharma,KKR,36.91,-,-,0,1/35,1.24,36.91
Josh Little,GT,32.99,-,-,0,1/45,1.55,32.99
Sai Sudharsan,GT,28.2,53(38),42.61,28.2,-,-,0
Shikhar Dhawan,PBKS,161.05,99(66),130.51,161.05,-,-,0
Rahul Tripathi,SRH,78.25,74(48),76.13,78.25,-,-,0
Mayank Markande,SRH,68.74,-,-,0,4/15,3.25,68.74
Marco Jansen,SRH,65.42,-,-,0,2/16,3.04,65.42
Sam Curran,PBKS,51.57,22(15),29.16,35.69,0/14,-,15.87
Arshdeep Singh,PBKS,41.48,-,-,0,1/20,1.71,41.48
Umran Malik,SRH,38.04,-,-,0,2/32,2.32,38.04
Aiden Markram,SRH,36.47,37(21),38.52,36.47,-,-,0
Bhuvneshwar Kumar,SRH,29.06,-,-,0,1/33,1.49,29.06
Rahul Chahar,PBKS,19.07,0(8),- 6.65,- 7.23,1/28,1.6,26.29
Mayank Agarwal,SRH,13.51,21(20),18.7,13.51,-,-,0
Mohammed Siraj,RCB,134.86,-,-,0,3/22,5.39,134.86
Nicholas Pooran,LSG,134.24,62(19),95.68,134.24,-,-,0
Marcus Stoinis,LSG,112.04,65(30),88.86,112.04,-,-,0
Wayne Parnell,RCB,78.65,-,-,0,3/41,4.24,78.65
Faf du Plessis,RCB,75.43,79(46),78.67,75.43,-,-,0
Glenn Maxwell,RCB,71.35,59(29),62.3,71.35,-,-,0
Mark Wood,LSG,42.46,1(2),-,- 0.68,1/32,0.72,43.14
Virat Kohli,RCB,41.96,61(44),53.74,41.96,-,-,0
Harshal Patel,RCB,34.91,-,-,0,2/48,2.27,34.91
Amit Mishra,LSG,23.75,-,-,0,1/18,0.98,23.75
Ayush Badoni,LSG,17.25,30(24),27.12,17.25,-,-,0
Axar Patel,DC,123.94,54(25),71.44,94.3,0/20,-,29.63
Piyush Chawla,MI,92.93,-,-,0,3/22,4.27,92.93
Rohit Sharma,MI,74.27,65(45),68.7,74.27,-,-,0
Jason Behrendorff,MI,49.65,-,-,0,3/23,2.6,49.65
Mukesh Kumar,DC,48.15,-,-,0,2/30,3.51,48.15
Tilak Varma,MI,46.9,41(29),40.97,41.98,0/7,-,4.92
Manish Pandey,DC,31.72,26(18),29.23,31.72,-,-,0
Mustafizur Rahman,DC,31.2,1(1),0.61,0.41,1/38,1.32,30.79
Riley Meredith,MI,30.81,-,-,0,2/34,1.64,30.81
David Warner,DC,26.38,51(47),40.61,26.38,-,-,0
Ishan Kishan,MI,26.27,31(26),29.24,26.27,-,-,0
Ravindra Jadeja,CSK,109.57,25(15),27.45,30.38,2/21,2.87,79.19
Ravichandran Ashwin,RR,98.77,30(22),29.55,28.31,2/25,2.91,70.47
Yuzvendra Chahal,RR,78.62,-,-,0,2/27,3.51,78.62
Jos Buttler,RR,54.03,52(36),55.93,54.03,-,-,0
Devon Conway,CSK,46.86,50(38),51.04,46.86,-,-,0
Devdutt Padikkal,RR,46.08,38(26),43.73,46.08,-,-,0
MS Dhoni,CSK,45.62,32(17),37.99,45.62,-,-,0
Ajinkya Rahane,CSK,42.91,31(19),38.03,42.91,-,-,0
Tushar Deshpande,CSK,35.02,-,-,0,2/37,1.97,35.02
Sandeep Sharma,RR,34.02,-,-,0,1/30,1.86,34.02
Shimron Hetmyer,RR,33.44,30(18),30.53,33.44,-,-,0
Shubman Gill,GT,76.91,67(49),73.49,76.91,-,-,0.0
Matthew Short,PBKS,60.82,36(24),47.53,60.58,0/8,-,0.24
Harpreet Brar,PBKS,57.56,8(5),8.76,10.68,1/20,1.57,46.89
Mohit Sharma,GT,55.12,-,-,0,2/18,1.88,55.12
Wriddhiman Saha,GT,48.09,30(19),38.92,48.09,-,-,0.0
Sam Curran,PBKS,42.83,22(22),14.69,7.58,1/25,1.34,35.25
M Shahrukh Khan,PBKS,42.32,22(9),31.01,42.32,-,-,0.0
Josh Little,GT,40.03,-,-,0,1/31,1.9,40.03
Rashid Khan,GT,34.86,-,-,0,1/26,1.28,34.86
Arshdeep Singh,PBKS,29.68,-,-,0,1/33,1.54,29.68
Kagiso Rabada,PBKS,26.12,-,-,0,1/36,1.49,26.12
Harry Brook,SRH,98.68,100(55),104.72,98.68,-,-,0
Nitish Rana,KKR,83.76,75(41),88.03,83.76,-,-,0
Andre Russell,KKR,66.36,3(6),2,- 4.1,3/22,3.96,70.46
Aiden Markram,SRH,56.58,50(26),54.95,56.58,-,-,0
Marco Jansen,SRH,44.58,-,-,0,2/37,2.25,44.58
Rinku Singh,KKR,43.49,58(31),58.23,43.49,-,-,0
Narayan Jagadeesan,KKR,43.4,36(21),42.75,43.4,-,-,0
Bhuvneshwar Kumar,SRH,34.73,-,-,0,1/29,1.28,34.73
Varun Chakravarthy,KKR,34.24,-,-,0,1/41,1.4,34.24
Mayank Markande,SRH,32.25,-,-,0,2/27,1.57,32.25
Sunil Narine,KKR,30.25,0(1),- 0.94,- 2.38,0/28,-,32.63
Kuldeep Yadav,DC,76.14,7(6),7,4.67,2/23,3.07,71.47
Virat Kohli,RCB,64.25,50(34),58.73,64.25,-,-,0
Manish Pandey,DC,60.48,50(38),60.16,60.48,-,-,0
Vijaykumar Vyshak,RCB,49.53,-,-,0,3/20,2.77,49.53
Axar Patel,DC,38.29,21(14),24.88,24.91,1/25,0.65,13.39
Mitchell Marsh,DC,37.83,0(4),- 4.27,- 9.14,2/18,2.78,46.97
Glenn Maxwell,RCB,35.33,24(14),29.05,35.33,-,-,0
Anrich Nortje,DC,33.75,23(14),23,18.63,0/31,-,15.12
Mohammed Siraj,RCB,33.63,-,-,0,2/23,1.56,33.63
Wayne Parnell,RCB,31.48,-,-,0,1/28,1.56,31.48
David Warner,DC,30.59,19(13),25.1,30.59,-,-,0
Sikandar Raza,PBKS,92.46,57(41),64.54,71.68,1/19,1.4,20.78
KL Rahul,LSG,73.99,74(56),76.08,73.99,-,-,0.0
Ravi Bishnoi,LSG,68.89,3(1),4.56,6.28,2/18,3.05,62.6
Matthew Short,PBKS,68.03,34(22),44.98,55.86,0/10,-,12.17
Yudhvir Singh,LSG,63.39,0(1),- 1.42,- 1.4,2/19,3.22,64.78
Mark Wood,LSG,48.79,-,-,0,2/35,2.82,48.79
Kagiso Rabada,PBKS,47.58,0(1),- 0.93,- 0.94,2/34,2.53,48.52
Sam Curran,PBKS,46.69,6(6),4.16,2.26,3/31,2.34,44.43
M Shahrukh Khan,PBKS,39.1,23(10),30.19,39.1,-,-,0.0
Harpreet Brar,PBKS,36.42,6(4),6.59,6.92,1/10,1.16,29.49
Kyle Mayers,LSG,34.23,29(23),31.12,34.23,-,-,0.0
Venkatesh Iyer,KKR,160.62,104(51),130.99,160.62,-,-,0
Ishan Kishan,MI,104.32,58(25),80.3,104.32,-,-,0
Suyash Sharma,KKR,61.11,-,-,0,2/27,2.58,61.11
Piyush Chawla,MI,53.7,-,-,0,1/19,1.06,53.7
Hrithik Shokeen,MI,48.2,-,-,0,2/34,2.14,48.2
Suryakumar Yadav,MI,46.69,43(25),47.58,46.69,-,-,0
Varun Chakravarthy,KKR,35.89,-,-,0,1/38,1.53,35.89
Cameron Green,MI,30.26,1(1),1,0.29,1/20,1.35,29.97
Riley Meredith,MI,28.48,-,-,0,1/40,0.98,28.48
Rohit Sharma,MI,22.45,20(13),21.33,22.45,-,-,0
Tilak Varma,MI,21.51,30(25),30.73,21.51,-,-,0
Mohammed Shami,GT,98.59,-,-,0,3/25,4.26,98.59
Sanju Samson,RR,93.68,60(32),76.17,93.68,-,-,0
Shimron Hetmyer,RR,83.48,56(26),69.04,83.48,-,-,0
Hardik Pandya,GT,82.93,28(19),30.04,29.77,1/24,1.65,53.16
Sandeep Sharma,RR,57.29,-,-,0,2/25,1.92,57.29
Rashid Khan,GT,37.87,1(1),0.21,- 0.59,2/46,2.67,38.46
David Miller,GT,37.37,46(30),42.16,37.37,-,-,0
Abhinav Manohar,GT,36.39,27(13),30.55,36.39,-,-,0
Shubman Gill,GT,34.34,45(34),41.86,34.34,-,-,0
Adam Zampa,RR,31.52,-,-,0,1/32,0.94,31.52
Ravichandran Ashwin,RR,28.1,10(3),15.73,22.34,0/37,-,5.76
Glenn Maxwell,RCB,131.61,76(36),93.74,111.12,1/28,0.7,20.49
Devon Conway,CSK,93.5,83(45),89.65,93.5,-,-,0.0
Tushar Deshpande,CSK,79.68,-,-,0,3/45,4.21,79.68
Faf du Plessis,RCB,77.28,62(33),71.49,77.28,-,-,0.0
Mohammed Siraj,RCB,67.05,-,-,0,1/30,1.85,67.05
Shivam Dube,CSK,55.65,52(27),53.01,55.65,-,-,0.0
Moeen Ali,CSK,50.54,19(9),18.21,18.88,1/13,1.76,31.66
Harshal Patel,RCB,46.77,-,-,0,1/36,1.65,46.77
Ajinkya Rahane,CSK,43.4,37(20),41.65,43.4,-,-,0.0
Maheesh Theekshana,CSK,42.01,-,-,0,1/41,1.63,42.01
Matheesha Pathirana,CSK,37.7,-,-,0,3/42,1.88,37.7
Cameron Green,MI,113.72,64(40),65.75,65.69,1/29,1.74,48.03
Marco Jansen,SRH,70.2,13(6),17.32,22.29,2/43,2.8,47.91
Jason Behrendorff,MI,69.48,-,-,0,2/37,3.62,69.48
Heinrich Klaasen,SRH,64.58,36(16),50.13,64.58,-,-,0
Tilak Varma,MI,60.67,37(17),46.48,60.67,-,-,0
Riley Meredith,MI,60.03,-,-,0,2/33,2.8,60.03
Piyush Chawla,MI,54.32,-,-,0,2/43,3.51,54.32
Bhuvneshwar Kumar,SRH,50.1,2(5),- 1.89,- 2.03,1/31,1.85,52.13
Rohit Sharma,MI,35.47,28(18),31.76,35.47,-,-,0
Mayank Agarwal,SRH,27.84,48(41),41.82,27.84,-,-,0
Ishan Kishan,MI,26.21,38(31),33.38,26.21,-,-,0
Avesh Khan,LSG,82.57,-,-,0,3/25,4.16,82.57
Marcus Stoinis,LSG,82.46,21(16),20.45,19.31,2/28,3.12,63.16
Kyle Mayers,LSG,60.26,51(42),55.52,60.26,-,-,0
Ravichandran Ashwin,RR,55.58,3(2),3,2.46,2/23,2.32,53.12
Yashasvi Jaiswal,RR,53.82,44(35),49.83,53.82,-,-,0
KL Rahul,LSG,46.76,39(32),43.4,46.76,-,-,0
Trent Boult,RR,46.08,-,-,0,1/16,1.15,46.08
Nicholas Pooran,LSG,32.44,29(20),30.26,32.44,-,-,0
Jos Buttler,RR,26.33,40(41),34.78,26.33,-,-,0
Naveen-ul-Haq,LSG,23.93,-,-,0,0/19,-,23.93
Devdutt Padikkal,RR,21.71,26(21),23.24,21.71,-,-,0
Mohammed Siraj,RCB,116.03,-,-,0,4/21,5.78,116.03
Faf du Plessis,RCB,102.05,84(56),93.61,102.05,-,-,0
Prabhsimran Singh,PBKS,75.72,46(30),62.14,75.72,-,-,0
Jitesh Sharma,PBKS,60.67,41(27),51.81,60.67,-,-,0
Harpreet Brar,PBKS,52.71,13(13),11.01,5.87,2/31,2.93,46.83
Virat Kohli,RCB,49.02,59(47),56.85,49.02,-,-,0
Wanindu Hasaranga,RCB,45.77,-,-,0,2/39,3.24,45.77
Harshal Patel,RCB,30.91,-,-,0,1/22,1.18,30.91
Arshdeep Singh,PBKS,23.77,-,-,0,1/34,1.01,23.77
Sam Curran,PBKS,20.94,10(12),8.09,2.34,0/27,-,18.6
Harpreet Singh,PBKS,20.88,13(9),17.49,20.88,-,-,0
David Warner,DC,83.53,57(41),70.45,83.53,-,-,0
Jason Roy,KKR,60.39,43(39),52.79,60.39,-,-,0
Axar Patel,DC,59.88,19(22),15.45,7.54,2/13,2.63,52.34
Andre Russell,KKR,56.65,38(31),49.2,61.71,0/12,-,- 5.06
Anrich Nortje,DC,50.19,-,-,0,2/20,2.44,50.19
Varun Chakravarthy,KKR,50.11,1(6),- 3.09,- 2.06,2/16,2.41,52.16
Ishant Sharma,DC,47.41,-,-,0,2/19,2.26,47.41
Anukul Roy,KKR,45.4,0(1),- 0.75,- 0.79,2/19,2.28,46.19
Nitish Rana,KKR,44.42,4(7),2.37,0.66,2/17,2.12,43.76
Kuldeep Yadav,DC,32.47,-,-,0,2/15,1.73,32.47
Mukesh Kumar,DC,21.38,-,-,0,1/34,1.53,21.38
Devon Conway,CSK,77.06,77(57),82.8,77.06,-,-,0
Ravindra Jadeja,CSK,76.1,-,-,0,3/22,3.87,76.1
Abhishek Sharma,SRH,44.31,34(26),40.29,44.31,-,-,0
Akash Singh,CSK,39.82,-,-,0,1/17,1.69,39.82
Matheesha Pathirana,CSK,39.69,-,-,0,1/22,1.44,39.69
Ruturaj Gaikwad,CSK,33.37,35(30),38.81,33.37,-,-,0
Maheesh Theekshana,CSK,31.56,-,-,0,1/27,1.57,31.56
Harry Brook,SRH,26.94,18(13),22.28,26.94,-,-,0
Rahul Tripathi,SRH,15.52,21(21),19.3,15.52,-,-,0
Mayank Markande,SRH,13.85,-,-,0,2/23,1.02,13.85
Washington Sundar,SRH,12.71,9(6),9.89,10.36,0/16,-,2.35
Hardik Pandya,GT,84.61,66(50),75.4,83.91,0/7,-,0.7
Krunal Pandya,LSG,83.78,23(23),21.3,20.23,2/16,2.64,63.55
Noor Ahmad,GT,72.48,-,-,0,2/18,3,72.48
Wriddhiman Saha,GT,65.91,47(37),56.91,65.91,-,-,0
KL Rahul,LSG,64.8,68(61),67.57,64.8,-,-,0
Mohit Sharma,GT,54.59,-,-,0,2/17,2.77,54.59
Naveen-ul-Haq,LSG,36.9,-,-,0,1/19,1.08,36.9
Kyle Mayers,LSG,33.08,24(19),29.06,33.08,-,-,0
Amit Mishra,LSG,26.47,-,-,0,1/9,1.15,26.47
Rashid Khan,GT,23.03,-,-,0,1/33,1.6,23.03
Marcus Stoinis,LSG,16.1,0(1),- 1.43,- 2.62,2/20,1.06,18.72
Cameron Green,MI,108.44,67(43),64.73,57.24,2/41,2.46,51.21
Arshdeep Singh,PBKS,107.63,-,-,0,3/29,4.72,107.63
Suryakumar Yadav,MI,80.71,57(26),67.84,80.71,-,-,0
Piyush Chawla,MI,74.41,-,-,0,2/15,2.64,74.41
Sam Curran,PBKS,56.68,55(29),57.79,62.62,0/41,-,- 5.94
Jitesh Sharma,PBKS,49.65,25(7),35.38,49.65,-,-,0
Rohit Sharma,MI,48.5,44(27),47.05,48.5,-,-,0
Atharva Taide,PBKS,33.98,29(17),32.33,33.98,-,-,0
Nathan Ellis,PBKS,30.65,-,-,0,1/44,1.42,30.65
Jofra Archer,MI,27.79,1(2),1,- 0.41,1/42,0.98,28.21
Harpreet Singh,PBKS,26.41,41(28),34.37,26.41,-,-,0
Glenn Maxwell,RCB,102.34,77(44),94.3,109.53,0/25,-,- 7.19
Harshal Patel,RCB,86.75,-,-,0,3/32,4.23,86.75
Faf du Plessis,RCB,79,62(39),72.04,79,-,-,0
Devdutt Padikkal,RR,60.36,52(34),57.92,60.36,-,-,0
David Willey,RCB,52.85,4(2),4.92,6.29,1/26,1.34,46.56
Dhruv Jurel,RR,48.09,34(16),40.82,48.09,-,-,0
Trent Boult,RR,43.05,-,-,0,2/41,2.67,43.05
Ravichandran Ashwin,RR,41.91,12(6),12.91,14.34,1/36,1.13,27.57
Yuzvendra Chahal,RR,41.65,-,-,0,1/28,1.22,41.65
Mohammed Siraj,RCB,41.64,1(1),0.49,0.33,1/39,1.88,41.31
Yashasvi Jaiswal,RR,38.49,47(37),44.16,38.49,-,-,0
Ajinkya Rahane,CSK,79.96,71(29),76.54,79.96,-,-,0
Suyash Sharma,KKR,62.01,-,-,0,1/29,1.83,62.01
Shivam Dube,CSK,60.41,50(21),56.42,60.41,-,-,0
Jason Roy,KKR,53.04,61(26),61.51,53.04,-,-,0
Ruturaj Gaikwad,CSK,40.24,35(20),38.15,40.24,-,-,0
Devon Conway,CSK,36.93,56(40),49.42,36.93,-,-,0
Rinku Singh,KKR,34.87,53(33),52.99,34.87,-,-,0
Varun Chakravarthy,KKR,31.1,0(3),-,- 0.42,1/49,1.62,31.52
Ravindra Jadeja,CSK,18.66,18(8),17.41,15.06,1/34,0.55,3.6
Akash Singh,CSK,16.73,-,-,0,1/29,0.62,16.73
Matheesha Pathirana,CSK,16.34,-,-,0,1/27,0.61,16.34
Axar Patel,DC,97.68,34(34),33.01,27.19,2/21,3.28,70.49
Washington Sundar,SRH,91.01,24(15),28.22,32.43,3/28,3.5,58.58
Bhuvneshwar Kumar,SRH,73.78,-,-,0,2/11,2.44,73.78
Mayank Agarwal,SRH,60.8,49(39),55.85,60.8,-,-,0
Anrich Nortje,DC,59.61,2(2),1.43,0.79,2/33,3.34,58.82
Mitchell Marsh,DC,46.5,25(15),34.95,46.53,0/16,-,- 0.03
Kuldeep Yadav,DC,45.29,4(3),4.31,5.31,1/22,1.57,39.98
Heinrich Klaasen,SRH,45.09,31(19),37.7,45.09,-,-,0
Manish Pandey,DC,38.04,34(27),38.8,38.04,-,-,0
Ishant Sharma,DC,34.71,1(1),0.79,0.53,1/18,1.49,34.18
T Natarajan,SRH,26.84,-,-,0,1/21,1.43,26.84
Shubman Gill,GT,72.07,56(34),65.68,72.07,-,-,0
David Miller,GT,58.49,46(22),52.62,58.49,-,-,0
Piyush Chawla,MI,56.38,18(12),18,12.37,2/34,2.16,44.01
Abhinav Manohar,GT,53.32,42(21),47.49,53.32,-,-,0
Arjun Tendulkar,MI,48.5,13(9),13,8.66,1/9,1.4,39.84
Nehal Wadhera,MI,32.99,40(21),40,32.99,-,-,0
Rahul Tewatia,GT,29.21,20(5),23.49,29.21,-,-,0
Rashid Khan,GT,24.9,2(1),2.03,1.76,2/27,1.36,23.15
